repo,language,stars,license,snapshot_date
hankcs/HanLP,Python,36120,Apache-2.0,2026-02-06
XingangPan/DragGAN,Python,35978,NOASSERTION,2026-02-06
chatanywhere/GPT_API_free,Python,35955,MIT,2026-02-06
myshell-ai/OpenVoice,Python,35900,MIT,2026-02-06
BerriAI/litellm,Python,35375,NOASSERTION,2026-02-06
666ghj/BettaFish,Python,35359,GPL-2.0,2026-02-06
jax-ml/jax,Python,34804,Apache-2.0,2026-02-06
fxsjy/jieba,Python,34741,MIT,2026-02-06
geekcomputers/Python,Python,34711,MIT,2026-02-06
RVC-Project/Retrieval-based-Voice-Conversion-WebUI,Python,34316,MIT,2026-02-06
mouredev/Hello-Python,Python,34283,Apache-2.0,2026-02-06
chenfei-wu/TaskMatrix,Python,34281,NOASSERTION,2026-02-06
python-poetry/poetry,Python,34186,MIT,2026-02-06
xinntao/Real-ESRGAN,Python,34182,BSD-3-Clause,2026-02-06
testerSunshine/12306,Python,34177,MIT,2026-02-06
Textualize/textual,Python,34110,MIT,2026-02-06
facebookresearch/detectron2,Python,34048,Apache-2.0,2026-02-06
Pythagora-io/gpt-pilot,Python,33761,NOASSERTION,2026-02-06
shadowsocks/shadowsocks,Python,33640,NOASSERTION,2026-02-06
lllyasviel/ControlNet,Python,33621,Apache-2.0,2026-02-06
XX-net/XX-Net,Python,33421,NOASSERTION,2026-02-06
explosion/spaCy,Python,33167,MIT,2026-02-06
certbot/certbot,Python,32806,NOASSERTION,2026-02-06
huggingface/diffusers,Python,32705,Apache-2.0,2026-02-06
ocrmypdf/OCRmyPDF,Python,32515,MPL-2.0,2026-02-06
khoj-ai/khoj,Python,32436,AGPL-3.0,2026-02-06
open-mmlab/mmdetection,Python,32375,Apache-2.0,2026-02-06
yunjey/pytorch-tutorial,Python,32162,MIT,2026-02-06
0xAX/linux-insides,Python,32159,NOASSERTION,2026-02-06
facebookresearch/fairseq,Python,32139,MIT,2026-02-06
stanfordnlp/dspy,Python,32046,MIT,2026-02-06
PDFMathTranslate/PDFMathTranslate,Python,31715,AGPL-3.0,2026-02-06
frappe/erpnext,Python,31566,GPL-3.0,2026-02-06
nicolargo/glances,Python,31555,NOASSERTION,2026-02-06
datalab-to/marker,Python,31483,GPL-3.0,2026-02-06
numpy/numpy,Python,31388,NOASSERTION,2026-02-06
tinygrad/tinygrad,Python,31313,MIT,2026-02-06
OWASP/CheatSheetSeries,Python,31302,CC-BY-SA-4.0,2026-02-06
ComposioHQ/awesome-claude-skills,Python,31157,NOASSERTION,2026-02-06
donnemartin/interactive-coding-challenges,Python,31155,NOASSERTION,2026-02-06
PostHog/posthog,Python,31130,NOASSERTION,2026-02-06
kovidgoyal/kitty,Python,31114,GPL-3.0,2026-02-06
tqdm/tqdm,Python,30932,NOASSERTION,2026-02-06
Lightning-AI/pytorch-lightning,Python,30805,Apache-2.0,2026-02-06
microsoft/graphrag,Python,30781,MIT,2026-02-06
eriklindernoren/ML-From-Scratch,Python,30627,MIT,2026-02-06
s0md3v/roop,Python,30507,GPL-3.0,2026-02-06
iperov/DeepFaceLive,Python,30480,GPL-3.0,2026-02-06
OpenBMB/ChatDev,Python,30409,Apache-2.0,2026-02-06
trailofbits/algo,Python,30315,AGPL-3.0,2026-02-06
tatsu-lab/stanford_alpaca,Python,30265,Apache-2.0,2026-02-06
dgtlmoon/changedetection.io,Python,30138,Apache-2.0,2026-02-06
encode/django-rest-framework,Python,29860,NOASSERTION,2026-02-06
openai/openai-python,Python,29851,Apache-2.0,2026-02-06
jumpserver/jumpserver,Python,29815,GPL-3.0,2026-02-06
StevenBlack/hosts,Python,29768,MIT,2026-02-06
TauricResearch/TradingAgents,Python,29381,Apache-2.0,2026-02-06
feder-cr/Jobs_Applier_AI_Agent_AIHawk,Python,29327,AGPL-3.0,2026-02-06
meta-llama/llama3,Python,29227,NOASSERTION,2026-02-06
JaidedAI/EasyOCR,Python,28912,Apache-2.0,2026-02-06
donnemartin/data-science-ipython-notebooks,Python,28850,NOASSERTION,2026-02-06
python-telegram-bot/python-telegram-bot,Python,28758,GPL-3.0,2026-02-06
chubin/wttr.in,Python,28722,Apache-2.0,2026-02-06
Ebazhanov/linkedin-skill-assessments-quizzes,Python,28661,AGPL-3.0,2026-02-06
AtsushiSakai/PythonRobotics,Python,28576,NOASSERTION,2026-02-06
nextlevelbuilder/ui-ux-pro-max-skill,Python,28552,MIT,2026-02-06
hpcaitech/Open-Sora,Python,28500,Apache-2.0,2026-02-06
getredash/redash,Python,28203,BSD-2-Clause,2026-02-06
d2l-ai/d2l-en,Python,28121,NOASSERTION,2026-02-06
google/python-fire,Python,28096,NOASSERTION,2026-02-06
Genesis-Embodied-AI/Genesis,Python,28095,Apache-2.0,2026-02-06
reflex-dev/reflex,Python,28078,Apache-2.0,2026-02-06
deezer/spleeter,Python,28024,MIT,2026-02-06
acheong08/ChatGPT,Python,27987,GPL-2.0,2026-02-06
svc-develop-team/so-vits-svc,Python,27982,AGPL-3.0,2026-02-06
celery/celery,Python,27976,NOASSERTION,2026-02-06
HKUDS/LightRAG,Python,27959,MIT,2026-02-06
microsoft/BitNet,Python,27955,MIT,2026-02-06
stanford-oval/storm,Python,27878,MIT,2026-02-06
521xueweihan/GitHub520,Python,27809,NOASSERTION,2026-02-06
deepinsight/insightface,Python,27801,NOASSERTION,2026-02-06
microsoft/cascadia-code,Python,27498,NOASSERTION,2026-02-06
locustio/locust,Python,27463,MIT,2026-02-06
KurtBestor/Hitomi-Downloader,Python,27384,NOASSERTION,2026-02-06
Stability-AI/generative-models,Python,26890,MIT,2026-02-06
ArchiveBox/ArchiveBox,Python,26771,MIT,2026-02-06
littlecodersh/ItChat,Python,26702,MIT,2026-02-06
pydantic/pydantic,Python,26697,MIT,2026-02-06
MetaCubeX/mihomo,Python,26692,MIT,2026-02-06
facefusion/facefusion,Python,26660,NOASSERTION,2026-02-06
QwenLM/Qwen3,Python,26500,NOASSERTION,2026-02-06
facebookresearch/Detectron,Python,26406,Apache-2.0,2026-02-06
ycm-core/YouCompleteMe,Python,26345,GPL-3.0,2026-02-06
WZMIAOMIAO/deep-learning-for-image-processing,Python,26068,GPL-3.0,2026-02-06
squidfunk/mkdocs-material,Python,25971,MIT,2026-02-06
huggingface/open-r1,Python,25860,Apache-2.0,2026-02-06
Vision-CAIR/MiniGPT-4,Python,25761,BSD-3-Clause,2026-02-06
ungoogled-software/ungoogled-chromium,Python,25668,BSD-3-Clause,2026-02-06
matterport/Mask_RCNN,Python,25515,NOASSERTION,2026-02-06
huggingface/smolagents,Python,25300,Apache-2.0,2026-02-06
assafelovic/gpt-researcher,Python,25223,Apache-2.0,2026-02-06
black-forest-labs/flux,Python,25189,Apache-2.0,2026-02-06
pypa/pipenv,Python,25110,MIT,2026-02-06
Cinnamon/kotaemon,Python,25000,Apache-2.0,2026-02-06
keon/algorithms,Python,24970,MIT,2026-02-06
lucidrains/vit-pytorch,Python,24968,MIT,2026-02-06
Fosowl/agenticSeek,Python,24934,GPL-3.0,2026-02-06
junyanz/pytorch-CycleGAN-and-pix2pix,Python,24930,NOASSERTION,2026-02-06
fishaudio/fish-speech,Python,24820,Apache-2.0,2026-02-06
HumanSignal/labelImg,Python,24765,MIT,2026-02-06
