repo,language,stars,license,snapshot_date
nicolargo/glances,Python,31556,NOASSERTION,2026-02-06
datalab-to/marker,Python,31482,GPL-3.0,2026-02-06
numpy/numpy,Python,31387,NOASSERTION,2026-02-06
tinygrad/tinygrad,Python,31313,MIT,2026-02-06
OWASP/CheatSheetSeries,Python,31302,CC-BY-SA-4.0,2026-02-06
donnemartin/interactive-coding-challenges,Python,31157,NOASSERTION,2026-02-06
ComposioHQ/awesome-claude-skills,Python,31128,NOASSERTION,2026-02-06
PostHog/posthog,Python,31128,NOASSERTION,2026-02-06
kovidgoyal/kitty,Python,31113,GPL-3.0,2026-02-06
tqdm/tqdm,Python,30932,NOASSERTION,2026-02-06
Lightning-AI/pytorch-lightning,Python,30805,Apache-2.0,2026-02-06
microsoft/graphrag,Python,30781,MIT,2026-02-06
eriklindernoren/ML-From-Scratch,Python,30625,MIT,2026-02-06
s0md3v/roop,Python,30508,GPL-3.0,2026-02-06
iperov/DeepFaceLive,Python,30480,GPL-3.0,2026-02-06
OpenBMB/ChatDev,Python,30404,Apache-2.0,2026-02-06
trailofbits/algo,Python,30315,AGPL-3.0,2026-02-06
tatsu-lab/stanford_alpaca,Python,30265,Apache-2.0,2026-02-06
dgtlmoon/changedetection.io,Python,30137,Apache-2.0,2026-02-06
encode/django-rest-framework,Python,29860,NOASSERTION,2026-02-06
openai/openai-python,Python,29851,Apache-2.0,2026-02-06
jumpserver/jumpserver,Python,29815,GPL-3.0,2026-02-06
StevenBlack/hosts,Python,29768,MIT,2026-02-06
TauricResearch/TradingAgents,Python,29375,Apache-2.0,2026-02-06
feder-cr/Jobs_Applier_AI_Agent_AIHawk,Python,29327,AGPL-3.0,2026-02-06
meta-llama/llama3,Python,29226,NOASSERTION,2026-02-06
JaidedAI/EasyOCR,Python,28911,Apache-2.0,2026-02-06
donnemartin/data-science-ipython-notebooks,Python,28850,NOASSERTION,2026-02-06
python-telegram-bot/python-telegram-bot,Python,28758,GPL-3.0,2026-02-06
chubin/wttr.in,Python,28721,Apache-2.0,2026-02-06
Ebazhanov/linkedin-skill-assessments-quizzes,Python,28661,AGPL-3.0,2026-02-06
AtsushiSakai/PythonRobotics,Python,28575,NOASSERTION,2026-02-06
nextlevelbuilder/ui-ux-pro-max-skill,Python,28524,MIT,2026-02-06
hpcaitech/Open-Sora,Python,28500,Apache-2.0,2026-02-06
getredash/redash,Python,28203,BSD-2-Clause,2026-02-06
d2l-ai/d2l-en,Python,28121,NOASSERTION,2026-02-06
google/python-fire,Python,28096,NOASSERTION,2026-02-06
Genesis-Embodied-AI/Genesis,Python,28095,Apache-2.0,2026-02-06
reflex-dev/reflex,Python,28078,Apache-2.0,2026-02-06
deezer/spleeter,Python,28024,MIT,2026-02-06
acheong08/ChatGPT,Python,27987,GPL-2.0,2026-02-06
svc-develop-team/so-vits-svc,Python,27984,AGPL-3.0,2026-02-06
celery/celery,Python,27976,NOASSERTION,2026-02-06
HKUDS/LightRAG,Python,27958,MIT,2026-02-06
microsoft/BitNet,Python,27953,MIT,2026-02-06
stanford-oval/storm,Python,27878,MIT,2026-02-06
521xueweihan/GitHub520,Python,27809,NOASSERTION,2026-02-06
deepinsight/insightface,Python,27798,NOASSERTION,2026-02-06
microsoft/cascadia-code,Python,27498,NOASSERTION,2026-02-06
locustio/locust,Python,27462,MIT,2026-02-06
KurtBestor/Hitomi-Downloader,Python,27384,NOASSERTION,2026-02-06
Stability-AI/generative-models,Python,26890,MIT,2026-02-06
