repo,html_url,stars,language
abi/screenshot-to-code,https://github.com/abi/screenshot-to-code,71601,TypeScript
moby/moby,https://github.com/moby/moby,71457,Go
python/cpython,https://github.com/python/cpython,71403,Python
openai/openai-cookbook,https://github.com/openai/openai-cookbook,71367,Jupyter Notebook
strapi/strapi,https://github.com/strapi/strapi,71238,TypeScript
ocornut/imgui,https://github.com/ocornut/imgui,71208,C++
PKUFlyingPig/cs-self-learning,https://github.com/PKUFlyingPig/cs-self-learning,71183,HTML
pallets/flask,https://github.com/pallets/flask,71142,Python
Developer-Y/cs-video-courses,https://github.com/Developer-Y/cs-video-courses,70685,
protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,70654,C++
hakimel/reveal.js,https://github.com/hakimel/reveal.js,70526,JavaScript
apache/superset,https://github.com/apache/superset,70464,TypeScript
PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,70365,Python
obsproject/obs-studio,https://github.com/obsproject/obs-studio,70226,C
binary-husky/gpt_academic,https://github.com/binary-husky/gpt_academic,70093,Python
dair-ai/Prompt-Engineering-Guide,https://github.com/dair-ai/Prompt-Engineering-Guide,70083,MDX
vllm-project/vllm,https://github.com/vllm-project/vllm,69750,Python
caddyserver/caddy,https://github.com/caddyserver/caddy,69697,Go
swiftlang/swift,https://github.com/swiftlang/swift,69654,C++
fffaraz/awesome-cpp,https://github.com/fffaraz/awesome-cpp,69597,
base/node,https://github.com/base/node,68784,Go
Eugeny/tabby,https://github.com/Eugeny/tabby,68751,TypeScript
expressjs/express,https://github.com/expressjs/express,68672,JavaScript
danielmiessler/SecLists,https://github.com/danielmiessler/SecLists,68669,PHP
nektos/act,https://github.com/nektos/act,68620,Go
binhnguyennus/awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,68457,
github/spec-kit,https://github.com/github/spec-kit,68252,Python
AppFlowy-IO/AppFlowy,https://github.com/AppFlowy-IO/AppFlowy,67982,Dart
ansible/ansible,https://github.com/ansible/ansible,67930,Python
OpenHands/OpenHands,https://github.com/OpenHands/OpenHands,67594,Python
chartjs/Chart.js,https://github.com/chartjs/Chart.js,67109,JavaScript
hiyouga/LlamaFactory,https://github.com/hiyouga/LlamaFactory,67020,Python
juliangarnier/anime,https://github.com/juliangarnier/anime,66391,JavaScript
prakhar1989/awesome-courses,https://github.com/prakhar1989/awesome-courses,66272,
leonardomso/33-js-concepts,https://github.com/leonardomso/33-js-concepts,66236,JavaScript
webpack/webpack,https://github.com/webpack/webpack,65946,JavaScript
xtekky/gpt4free,https://github.com/xtekky/gpt4free,65723,Python
labmlai/annotated_deep_learning_paper_implementations,https://github.com/labmlai/annotated_deep_learning_paper_implementations,65672,Python
apache/echarts,https://github.com/apache/echarts,65657,TypeScript
anthropics/skills,https://github.com/anthropics/skills,65306,Python
lydiahallie/javascript-questions,https://github.com/lydiahallie/javascript-questions,65261,
anthropics/claude-code,https://github.com/anthropics/claude-code,65117,Shell
TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,64960,Java
scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,64939,Python
sindresorhus/awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,64907,
TapXWorld/ChinaTextbook,https://github.com/TapXWorld/ChinaTextbook,64905,Roff
kdn251/interviews,https://github.com/kdn251/interviews,64860,Java
bradtraversy/design-resources-for-developers,https://github.com/bradtraversy/design-resources-for-developers,64774,
kelseyhightower/nocode,https://github.com/kelseyhightower/nocode,64688,Dockerfile
chrislgarry/Apollo-11,https://github.com/chrislgarry/Apollo-11,64556,Assembly
localstack/localstack,https://github.com/localstack/localstack,64317,Python
NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,64169,Java
FoundationAgents/MetaGPT,https://github.com/FoundationAgents/MetaGPT,63983,Python
keras-team/keras,https://github.com/keras-team/keras,63757,Python
facebook/docusaurus,https://github.com/facebook/docusaurus,63699,TypeScript
socketio/socket.io,https://github.com/socketio/socket.io,62862,TypeScript
resume/resume.github.com,https://github.com/resume/resume.github.com,62792,JavaScript
toeverything/AFFiNE,https://github.com/toeverything/AFFiNE,62636,TypeScript
prometheus/prometheus,https://github.com/prometheus/prometheus,62596,Go
alacritty/alacritty,https://github.com/alacritty/alacritty,62318,Rust
openinterpreter/open-interpreter,https://github.com/openinterpreter/open-interpreter,62055,Python
FuelLabs/sway,https://github.com/FuelLabs/sway,61966,Rust
nocodb/nocodb,https://github.com/nocodb/nocodb,61901,TypeScript
rust-lang/rustlings,https://github.com/rust-lang/rustlings,61742,Rust
lodash/lodash,https://github.com/lodash/lodash,61604,JavaScript
ryanoasis/nerd-fonts,https://github.com/ryanoasis/nerd-fonts,61586,CSS
traefik/traefik,https://github.com/traefik/traefik,61499,Go
reduxjs/redux,https://github.com/reduxjs/redux,61449,TypeScript
gorhill/uBlock,https://github.com/gorhill/uBlock,61383,JavaScript
tldr-pages/tldr,https://github.com/tldr-pages/tldr,61152,Markdown
atom/atom,https://github.com/atom/atom,61010,JavaScript
xingshaocheng/architect-awesome,https://github.com/xingshaocheng/architect-awesome,60825,
h5bp/Front-end-Developer-Interview-Questions,https://github.com/h5bp/Front-end-Developer-Interview-Questions,60793,Nunjucks
youngyangyang04/leetcode-master,https://github.com/youngyangyang04/leetcode-master,60279,Shell
minio/minio,https://github.com/minio/minio,60137,Go
adam-p/markdown-here,https://github.com/adam-p/markdown-here,60133,JavaScript
commaai/openpilot,https://github.com/commaai/openpilot,60023,Python
OpenBB-finance/OpenBB,https://github.com/OpenBB-finance/OpenBB,59942,Python
jquery/jquery,https://github.com/jquery/jquery,59835,JavaScript
scrapy/scrapy,https://github.com/scrapy/scrapy,59670,Python
BurntSushi/ripgrep,https://github.com/BurntSushi/ripgrep,59653,Rust
